زمان,باران 6 (mm),تابش خورشیدی 7 (W/m2),جهت باد 5 (degree),دما 1 (°C),رطوبت 2 (%),سرعت باد 4 (km/h),فشار هوا 3 (kPa)
14:20                                                     1405/04/15,355.2mm,516W/m2,83.9degree,20.3°C,38.9%,13.3km/h,91.7kPa
14:20                                                     1405/04/16,355.2mm,514W/m2,96.3degree,13.5°C,57.6%,13.7km/h,91.9kPa
14:20                                                     1405/04/17,355.2mm,546W/m2,75.9degree,16.6°C,37.3%,12.5km/h,92.1kPa
14:20                                                     1405/04/18,355.2mm,565W/m2,70.9degree,21.3°C,29.0%,10.2km/h,91.7kPa
14:20                                                     1405/04/19,355.2mm,700W/m2,177.2degree,28.6°C,19.1%,10.5km/h,91.3kPa
14:20                                                     1405/04/20,355.2mm,275W/m2,101.4degree,29.2°C,27.7%,3.1km/h,91.2kPa
14:20                                                     1405/04/21,355.2mm,297W/m2,116.8degree,26.0°C,31.6%,12.6km/h,90.9kPa
14:20                                                     1405/04/22,358.4mm,597W/m2,127.8degree,26.0°C,44.8%,8.8km/h,91.0kPa
14:20                                                     1405/04/23,367.4mm,572W/m2,158.9degree,25.0°C,47.0%,10.2km/h,91.5kPa
14:20                                                     1405/04/24,367.4mm,30W/m2,40.6degree,26.4°C,25.6%,15.6km/h,91.2kPa
14:20                                                     1405/04/26,376.8mm,700W/m2,88.6degree,20.9°C,47.0%,19.0km/h,92.0kPa
14:20                                                     1405/04/27,376.8mm,282W/m2,97.2degree,24.3°C,37.7%,7.3km/h,91.2kPa
14:20                                                     1405/04/28,376.8mm,588W/m2,67.2degree,29.0°C,27.2%,15.4km/h,91.3kPa
14:20                                                     1405/04/29,376.8mm,576W/m2,60.5degree,27.4°C,30.2%,18.0km/h,91.3kPa
14:20                                                     1405/04/30,376.8mm,630W/m2,64.8degree,23.8°C,39.7%,22.5km/h,91.2kPa
14:20                                                     1405/05/01,376.8mm,141W/m2,66.4degree,18.0°C,56.7%,22.2km/h,91.6kPa
14:20                                                     1405/05/02,376.8mm,595W/m2,49.0degree,23.9°C,39.4%,9.1km/h,91.8kPa
14:20                                                     1405/05/03,376.8mm,606W/m2,57.1degree,27.0°C,27.3%,15.2km/h,91.8kPa
14:20                                                     1405/05/04,376.8mm,598W/m2,75.6degree,28.9°C,23.3%,10.5km/h,91.7kPa
14:20                                                     1405/05/05,376.8mm,576W/m2,155.6degree,34.4°C,15.4%,5.3km/h,91.6kPa
14:20                                                     1405/05/06,376.8mm,592W/m2,154.1degree,37.2°C,12.1%,5.5km/h,91.3kPa
14:20                                                     1405/05/08,376.8mm,527W/m2,100.6degree,30.6°C,27.3%,17.0km/h,91.6kPa
14:20                                                     1405/05/09,376.8mm,402W/m2,45.4degree,26.2°C,30.3%,28.4km/h,91.6kPa
14:20                                                     1405/05/10,378.4mm,588W/m2,103.0degree,24.8°C,44.6%,8.4km/h,91.7kPa
14:20                                                     1405/05/11,378.4mm,600W/m2,104.8degree,27.9°C,31.9%,13.1km/h,91.5kPa
14:30                                                     1405/03/21,290.2mm,486W/m2,243.3degree,24.8°C,27.6%,14.5km/h,91.4kPa
14:30                                                     1405/03/22,290.6mm,227W/m2,60.7degree,21.3°C,41.2%,6.3km/h,91.8kPa
14:30                                                     1405/03/23,290.6mm,453W/m2,177.3degree,26.7°C,26.8%,18.0km/h,92.0kPa
14:30                                                     1405/03/25,294.2mm,153W/m2,140.9degree,18.0°C,79.4%,10.8km/h,90.8kPa
14:30                                                     1405/03/26,295.0mm,236W/m2,218.8degree,24.3°C,40.5%,11.1km/h,91.3kPa
14:30                                                     1405/03/27,295.0mm,306W/m2,216.6degree,23.5°C,48.7%,30.9km/h,90.9kPa
14:30                                                     1405/03/29,304.2mm,229W/m2,315.0degree,18.9°C,37.3%,9.2km/h,90.8kPa
14:30                                                     1405/03/31,325.8mm,513W/m2,209.1degree,27.0°C,17.0%,13.8km/h,90.8kPa
14:30                                                     1405/04/01,349.4mm,197W/m2,333.4degree,12.5°C,81.7%,6.6km/h,91.3kPa
14:30                                                     1405/04/02,350.6mm,333W/m2,139.9degree,14.4°C,67.3%,8.3km/h,91.8kPa
14:30                                                     1405/04/03,350.6mm,506W/m2,191.0degree,21.0°C,38.2%,7.2km/h,91.3kPa
14:30                                                     1405/04/04,350.6mm,573W/m2,187.0degree,25.1°C,29.4%,24.3km/h,90.9kPa
14:30                                                     1405/04/08,406.4mm,104W/m2,186.2degree,17.9°C,50.0%,13.3km/h,91.2kPa
14:30                                                     1405/04/09,406.4mm,105W/m2,126.6degree,21.1°C,44.3%,8.9km/h,91.4kPa
14:30                                                     1405/04/10,406.6mm,25W/m2,193.2degree,14.9°C,64.2%,17.1km/h,92.0kPa
14:30                                                     1405/04/11,406.8mm,541W/m2,55.1degree,24.7°C,24.6%,5.1km/h,92.3kPa
14:30                                                     1405/04/12,355.2mm,539W/m2,143.4degree,25.7°C,25.0%,7.6km/h,91.8kPa
14:30                                                     1405/04/13,355.2mm,526W/m2,140.7degree,28.8°C,20.9%,14.6km/h,91.4kPa
14:30                                                     1405/04/14,355.2mm,522W/m2,298.0degree,29.2°C,20.7%,12.4km/h,91.3kPa
14:30                                                     1405/04/16,355.2mm,468W/m2,92.8degree,13.7°C,57.3%,17.2km/h,91.9kPa
14:30                                                     1405/04/17,355.2mm,527W/m2,77.4degree,17.1°C,37.9%,19.6km/h,92.1kPa
14:30                                                     1405/04/18,355.2mm,539W/m2,92.5degree,21.3°C,28.1%,5.4km/h,91.7kPa
14:30                                                     1405/04/20,355.2mm,484W/m2,118.1degree,29.5°C,27.5%,5.2km/h,91.2kPa
14:30                                                     1405/04/21,355.2mm,352W/m2,140.0degree,26.1°C,32.0%,11.6km/h,90.9kPa
14:30                                                     1405/04/22,358.4mm,118W/m2,143.4degree,25.7°C,42.7%,8.4km/h,91.0kPa
14:30                                                     1405/04/24,369.0mm,40W/m2,49.7degree,25.9°C,31.3%,13.5km/h,91.3kPa
14:30                                                     1405/04/26,376.8mm,509W/m2,58.0degree,20.9°C,46.5%,13.0km/h,92.0kPa
14:30                                                     1405/04/27,376.8mm,631W/m2,108.4degree,24.8°C,37.6%,8.0km/h,91.3kPa
14:30                                                     1405/04/29,376.8mm,556W/m2,99.9degree,27.5°C,30.0%,18.8km/h,91.3kPa
14:30                                                     1405/04/30,376.8mm,683W/m2,84.8degree,23.9°C,39.8%,15.2km/h,91.2kPa
14:30                                                     1405/05/01,376.8mm,123W/m2,81.7degree,17.8°C,57.4%,21.4km/h,91.7kPa
14:30                                                     1405/05/03,376.8mm,574W/m2,102.2degree,27.1°C,26.9%,18.7km/h,91.8kPa
14:30                                                     1405/05/05,376.8mm,553W/m2,157.5degree,34.6°C,15.5%,15.6km/h,91.6kPa
14:30                                                     1405/05/07,376.8mm,542W/m2,110.9degree,32.3°C,28.8%,12.2km/h,91.4kPa
14:30                                                     1405/05/08,376.8mm,503W/m2,114.4degree,30.5°C,27.2%,13.7km/h,91.6kPa
14:30                                                     1405/05/09,376.8mm,308W/m2,78.1degree,25.9°C,31.1%,20.0km/h,91.6kPa
14:30                                                     1405/05/10,378.4mm,566W/m2,99.8degree,24.8°C,44.7%,19.8km/h,91.7kPa
14:30                                                     1405/05/11,378.4mm,582W/m2,123.5degree,28.1°C,31.5%,11.2km/h,91.5kPa
14:40                                                     1405/03/21,290.2mm,462W/m2,239.2degree,24.7°C,26.5%,8.4km/h,91.4kPa
14:40                                                     1405/03/22,290.6mm,152W/m2,60.5degree,21.1°C,41.3%,7.1km/h,91.8kPa
14:40                                                     1405/03/23,290.6mm,474W/m2,181.1degree,26.9°C,27.0%,16.4km/h,92.0kPa
14:40                                                     1405/03/24,290.6mm,354W/m2,184.1degree,27.5°C,21.7%,8.8km/h,91.5kPa
14:40                                                     1405/03/25,294.2mm,90W/m2,135.5degree,17.5°C,80.8%,7.1km/h,90.8kPa
14:40                                                     1405/03/26,295.0mm,443W/m2,197.9degree,24.8°C,40.6%,8.9km/h,91.4kPa
14:40                                                     1405/03/27,295.0mm,323W/m2,201.5degree,23.0°C,51.8%,33.9km/h,90.9kPa
14:40                                                     1405/03/28,304.2mm,556W/m2,149.8degree,22.6°C,49.0%,13.8km/h,90.8kPa
14:40                                                     1405/03/29,304.2mm,339W/m2,327.5degree,19.6°C,37.5%,6.4km/h,90.8kPa
14:40                                                     1405/03/30,325.8mm,373W/m2,220.3degree,25.1°C,18.8%,13.2km/h,90.9kPa
14:40                                                     1405/03/31,325.8mm,490W/m2,206.0degree,26.8°C,16.1%,12.8km/h,90.8kPa
14:40                                                     1405/04/01,349.4mm,138W/m2,350.8degree,12.5°C,80.6%,6.7km/h,91.4kPa
14:40                                                     1405/04/02,350.6mm,270W/m2,86.8degree,14.1°C,64.1%,6.5km/h,91.8kPa
14:40                                                     1405/04/03,350.6mm,483W/m2,146.9degree,21.2°C,39.4%,5.8km/h,91.3kPa
14:40                                                     1405/04/04,350.6mm,406W/m2,181.3degree,24.4°C,29.7%,19.1km/h,90.9kPa
14:40                                                     1405/04/08,406.4mm,67W/m2,136.8degree,17.6°C,51.2%,5.5km/h,91.2kPa
14:40                                                     1405/04/09,406.4mm,61W/m2,124.0degree,20.4°C,47.7%,6.5km/h,91.4kPa
14:40                                                     1405/04/10,406.6mm,33W/m2,239.3degree,15.9°C,57.0%,9.6km/h,92.0kPa
14:40                                                     1405/04/11,406.8mm,515W/m2,183.7degree,25.0°C,24.0%,10.9km/h,92.3kPa
14:40                                                     1405/04/12,355.2mm,514W/m2,112.9degree,25.9°C,25.5%,4.4km/h,91.8kPa
14:40                                                     1405/04/13,355.2mm,495W/m2,148.5degree,28.8°C,19.3%,10.1km/h,91.4kPa
14:40                                                     1405/04/14,355.2mm,499W/m2,253.4degree,29.3°C,20.4%,9.7km/h,91.4kPa
14:40                                                     1405/04/15,355.2mm,514W/m2,88.8degree,20.1°C,37.5%,13.0km/h,91.6kPa
14:40                                                     1405/04/16,355.2mm,439W/m2,111.1degree,13.5°C,57.5%,10.7km/h,91.9kPa
14:40                                                     1405/04/17,355.2mm,490W/m2,90.6degree,16.9°C,37.6%,10.8km/h,92.1kPa
14:40                                                     1405/04/18,355.2mm,512W/m2,57.6degree,21.3°C,29.0%,5.5km/h,91.7kPa
14:40                                                     1405/04/19,355.2mm,496W/m2,151.2degree,28.5°C,19.1%,10.4km/h,91.3kPa
14:40                                                     1405/04/20,355.2mm,472W/m2,352.3degree,30.4°C,25.8%,2.3km/h,91.2kPa
14:40                                                     1405/04/21,355.2mm,340W/m2,99.2degree,25.9°C,31.5%,11.6km/h,90.9kPa
14:40                                                     1405/04/22,358.4mm,121W/m2,151.0degree,25.1°C,44.7%,12.6km/h,91.0kPa
14:40                                                     1405/04/23,367.4mm,520W/m2,155.1degree,25.5°C,46.2%,5.7km/h,91.4kPa
14:40                                                     1405/04/24,374.0mm,498W/m2,7.6degree,21.1°C,59.8%,6.0km/h,91.4kPa
14:40                                                     1405/04/25,376.8mm,267W/m2,150.6degree,30.9°C,25.3%,8.3km/h,91.5kPa
14:40                                                     1405/04/26,376.8mm,577W/m2,69.5degree,20.9°C,46.6%,18.8km/h,92.0kPa
14:40                                                     1405/04/27,376.8mm,172W/m2,85.1degree,25.1°C,36.9%,7.1km/h,91.2kPa
14:40                                                     1405/04/28,376.8mm,526W/m2,68.7degree,28.6°C,26.3%,8.4km/h,91.3kPa
14:40                                                     1405/04/29,376.8mm,525W/m2,95.0degree,27.9°C,28.1%,21.7km/h,91.2kPa
14:40                                                     1405/04/30,376.8mm,175W/m2,58.5degree,23.5°C,40.0%,14.4km/h,91.2kPa
14:40                                                     1405/05/02,376.8mm,536W/m2,59.9degree,23.8°C,38.9%,5.0km/h,91.8kPa
14:40                                                     1405/05/03,376.8mm,551W/m2,123.5degree,27.4°C,26.2%,10.4km/h,91.8kPa
14:40                                                     1405/05/04,376.8mm,546W/m2,5.1degree,29.3°C,22.3%,2.6km/h,91.7kPa
14:40                                                     1405/05/05,376.8mm,516W/m2,111.1degree,34.7°C,16.4%,7.2km/h,91.6kPa
14:40                                                     1405/05/06,376.8mm,526W/m2,117.8degree,37.2°C,13.0%,8.4km/h,91.3kPa
14:40                                                     1405/05/07,376.8mm,518W/m2,91.5degree,32.3°C,27.9%,15.3km/h,91.4kPa
14:40                                                     1405/05/08,376.8mm,497W/m2,67.7degree,30.7°C,27.0%,12.5km/h,91.6kPa
14:40                                                     1405/05/09,376.8mm,309W/m2,72.9degree,25.7°C,30.2%,27.8km/h,91.6kPa
14:40                                                     1405/05/10,378.4mm,541W/m2,74.3degree,24.8°C,44.6%,13.1km/h,91.7kPa
